Sno,Date,Country/Region,Province/State,Confirmed,Region
239,20-03-2020,India,Punjab,2,India
240,20-03-2020,India,Rajasthan,17,India
241,20-03-2020,India,Tamil Nadu,3,India
242,20-03-2020,India,Telengana,17,India
243,20-03-2020,India,Chandigarh,1,India
244,20-03-2020,India,Jammu and Kashmir,4,India
245,20-03-2020,India,Ladakh,10,India
246,20-03-2020,India,Uttar Pradesh,23,India
247,20-03-2020,India,Uttarakhand,3,India
248,20-03-2020,India,West Bengal,2,India
249,21-03-2020,India,Andhra Pradesh,3,India
250,21-03-2020,India,Chhattisgarh,1,India
251,21-03-2020,India,Delhi,26,India
252,21-03-2020,India,Gujarat,7,India
253,21-03-2020,India,Haryana,17,India
254,21-03-2020,India,Himachal Pradesh,2,India
255,21-03-2020,India,Karnataka,15,India
256,21-03-2020,India,Kerala,40,India
257,21-03-2020,India,Madhya Pradesh,4,India
258,21-03-2020,India,Maharashtra,63,India
259,21-03-2020,India,Odisha,2,India
260,21-03-2020,India,Puducherry,1,India
261,21-03-2020,India,Punjab,13,India
262,21-03-2020,India,Rajasthan,17,India
263,21-03-2020,India,Tamil Nadu,3,India
264,21-03-2020,India,Telengana,21,India
265,21-03-2020,India,Chandigarh,1,India
266,21-03-2020,India,Jammu and Kashmir,4,India
267,21-03-2020,India,Ladakh,13,India
268,21-03-2020,India,Uttar Pradesh,24,India
269,21-03-2020,India,Uttarakhand,3,India
270,21-03-2020,India,West Bengal,3,India
271,22-03-2020,India,Andhra Pradesh,5,India
272,22-03-2020,India,Bihar,2,India
273,22-03-2020,India,Chhattisgarh,1,India
274,22-03-2020,India,Delhi,29,India
275,22-03-2020,India,Gujarat,18,India
276,22-03-2020,India,Haryana,21,India
277,22-03-2020,India,Himachal Pradesh,2,India
278,22-03-2020,India,Karnataka,26,India
279,22-03-2020,India,Kerala,52,India
280,22-03-2020,India,Madhya Pradesh,4,India
281,22-03-2020,India,Maharashtra,67,India
282,22-03-2020,India,Odisha,2,India
283,22-03-2020,India,Puducherry,1,India
284,22-03-2020,India,Punjab,21,India
285,22-03-2020,India,Rajasthan,24,India
286,22-03-2020,India,Tamil Nadu,7,India
287,22-03-2020,India,Telengana,22,India
288,22-03-2020,India,Chandigarh,5,India
289,22-03-2020,India,Jammu and Kashmir,4,India
290,22-03-2020,India,Ladakh,13,India
291,22-03-2020,India,Uttar Pradesh,27,India
292,22-03-2020,India,Uttarakhand,3,India
293,22-03-2020,India,West Bengal,4,India
294,23-03-2020,India,Andhra Pradesh,7,India
295,23-03-2020,India,Bihar,2,India
296,23-03-2020,India,Chhattisgarh,1,India
297,23-03-2020,India,Delhi,29,India
298,23-03-2020,India,Gujarat,29,India
299,23-03-2020,India,Haryana,26,India
300,23-03-2020,India,Himachal Pradesh,2,India
301,23-03-2020,India,Karnataka,33,India
302,23-03-2020,India,Kerala,67,India
303,23-03-2020,India,Madhya Pradesh,6,India
304,23-03-2020,India,Maharashtra,74,India
305,23-03-2020,India,Odisha,2,India
306,23-03-2020,India,Puducherry,1,India
307,23-03-2020,India,Punjab,21,India
308,23-03-2020,India,Rajasthan,28,India
309,23-03-2020,India,Tamil Nadu,9,India
310,23-03-2020,India,Telengana,32,India
311,23-03-2020,India,Chandigarh,6,India
312,23-03-2020,India,Jammu and Kashmir,4,India
313,23-03-2020,India,Ladakh,13,India
314,23-03-2020,India,Uttar Pradesh,31,India
315,23-03-2020,India,Uttarakhand,3,India
316,23-03-2020,India,West Bengal,7,India
317,24-03-2020,India,Andhra Pradesh,8,India
318,24-03-2020,India,Bihar,3,India
319,24-03-2020,India,Chhattisgarh,1,India
320,24-03-2020,India,Delhi,30,India
321,24-03-2020,India,Gujarat,33,India
322,24-03-2020,India,Haryana,28,India
323,24-03-2020,India,Himachal Pradesh,3,India
324,24-03-2020,India,Karnataka,37,India
325,24-03-2020,India,Kerala,95,India
326,24-03-2020,India,Madhya Pradesh,7,India
327,24-03-2020,India,Maharashtra,89,India
328,24-03-2020,India,Manipur,1,India
329,24-03-2020,India,Odisha,2,India
330,24-03-2020,India,Puducherry,1,India
331,24-03-2020,India,Punjab,29,India
332,24-03-2020,India,Rajasthan,32,India
333,24-03-2020,India,Tamil Nadu,15,India
334,24-03-2020,India,Telengana,35,India
