Sno,Date,Country/Region,Province/State,Deaths,Region
202,18-03-2020,India,Rajasthan,0,India
203,18-03-2020,India,Tamil Nadu,0,India
204,18-03-2020,India,Telengana,0,India
205,18-03-2020,India,Jammu and Kashmir,0,India
206,18-03-2020,India,Ladakh,0,India
207,18-03-2020,India,Uttar Pradesh,0,India
208,18-03-2020,India,Uttarakhand,0,India
209,18-03-2020,India,West Bengal,0,India
210,19-03-2020,India,Andhra Pradesh,0,India
211,19-03-2020,India,Chhattisgarh,0,India
212,19-03-2020,India,Delhi,1,India
213,19-03-2020,India,Haryana,0,India
214,19-03-2020,India,Karnataka,1,India
215,19-03-2020,India,Kerala,0,India
216,19-03-2020,India,Maharashtra,1,India
217,19-03-2020,India,Odisha,0,India
218,19-03-2020,India,Puducherry,0,India
219,19-03-2020,India,Punjab,1,India
220,19-03-2020,India,Rajasthan,0,India
221,19-03-2020,India,Tamil Nadu,0,India
222,19-03-2020,India,Telengana,0,India
223,19-03-2020,India,Chandigarh,0,India
224,19-03-2020,India,Jammu and Kashmir,0,India
225,19-03-2020,India,Ladakh,0,India
226,19-03-2020,India,Uttar Pradesh,0,India
227,19-03-2020,India,Uttarakhand,0,India
228,19-03-2020,India,West Bengal,0,India
229,20-03-2020,India,Andhra Pradesh,0,India
230,20-03-2020,India,Chhattisgarh,0,India
231,20-03-2020,India,Delhi,1,India
232,20-03-2020,India,Gujarat,0,India
233,20-03-2020,India,Haryana,0,India
234,20-03-2020,India,Karnataka,1,India
235,20-03-2020,India,Kerala,0,India
236,20-03-2020,India,Maharashtra,1,India
237,20-03-2020,India,Odisha,0,India
238,20-03-2020,India,Puducherry,0,India
239,20-03-2020,India,Punjab,1,India
240,20-03-2020,India,Rajasthan,0,India
241,20-03-2020,India,Tamil Nadu,0,India
242,20-03-2020,India,Telengana,0,India
243,20-03-2020,India,Chandigarh,0,India
244,20-03-2020,India,Jammu and Kashmir,0,India
245,20-03-2020,India,Ladakh,0,India
246,20-03-2020,India,Uttar Pradesh,0,India
247,20-03-2020,India,Uttarakhand,0,India
248,20-03-2020,India,West Bengal,0,India
249,21-03-2020,India,Andhra Pradesh,0,India
250,21-03-2020,India,Chhattisgarh,0,India
251,21-03-2020,India,Delhi,1,India
252,21-03-2020,India,Gujarat,0,India
253,21-03-2020,India,Haryana,0,India
254,21-03-2020,India,Himachal Pradesh,0,India
255,21-03-2020,India,Karnataka,1,India
256,21-03-2020,India,Kerala,0,India
257,21-03-2020,India,Madhya Pradesh,0,India
258,21-03-2020,India,Maharashtra,1,India
259,21-03-2020,India,Odisha,0,India
260,21-03-2020,India,Puducherry,0,India
261,21-03-2020,India,Punjab,1,India
262,21-03-2020,India,Rajasthan,0,India
263,21-03-2020,India,Tamil Nadu,0,India
264,21-03-2020,India,Telengana,0,India
265,21-03-2020,India,Chandigarh,0,India
266,21-03-2020,India,Jammu and Kashmir,0,India
267,21-03-2020,India,Ladakh,0,India
268,21-03-2020,India,Uttar Pradesh,0,India
269,21-03-2020,India,Uttarakhand,0,India
270,21-03-2020,India,West Bengal,0,India
271,22-03-2020,India,Andhra Pradesh,0,India
272,22-03-2020,India,Bihar,1,India
273,22-03-2020,India,Chhattisgarh,0,India
274,22-03-2020,India,Delhi,1,India
275,22-03-2020,India,Gujarat,1,India
276,22-03-2020,India,Haryana,0,India
277,22-03-2020,India,Himachal Pradesh,0,India
278,22-03-2020,India,Karnataka,1,India
279,22-03-2020,India,Kerala,0,India
280,22-03-2020,India,Madhya Pradesh,0,India
281,22-03-2020,India,Maharashtra,2,India
282,22-03-2020,India,Odisha,0,India
283,22-03-2020,India,Puducherry,0,India
284,22-03-2020,India,Punjab,1,India
285,22-03-2020,India,Rajasthan,0,India
286,22-03-2020,India,Tamil Nadu,0,India
287,22-03-2020,India,Telengana,0,India
288,22-03-2020,India,Chandigarh,0,India
289,22-03-2020,India,Jammu and Kashmir,0,India
290,22-03-2020,India,Ladakh,0,India
291,22-03-2020,India,Uttar Pradesh,0,India
292,22-03-2020,India,Uttarakhand,0,India
293,22-03-2020,India,West Bengal,0,India
294,23-03-2020,India,Andhra Pradesh,0,India
295,23-03-2020,India,Bihar,1,India
296,23-03-2020,India,Chhattisgarh,0,India
297,23-03-2020,India,Delhi,1,India
298,23-03-2020,India,Gujarat,1,India
299,23-03-2020,India,Haryana,0,India
300,23-03-2020,India,Himachal Pradesh,0,India
301,23-03-2020,India,Karnataka,1,India
302,23-03-2020,India,Kerala,0,India
303,23-03-2020,India,Madhya Pradesh,0,India
304,23-03-2020,India,Maharashtra,2,India
305,23-03-2020,India,Odisha,0,India
306,23-03-2020,India,Puducherry,0,India
307,23-03-2020,India,Punjab,1,India
308,23-03-2020,India,Rajasthan,0,India
309,23-03-2020,India,Tamil Nadu,0,India
310,23-03-2020,India,Telengana,0,India
311,23-03-2020,India,Chandigarh,0,India
312,23-03-2020,India,Jammu and Kashmir,0,India
313,23-03-2020,India,Ladakh,0,India
314,23-03-2020,India,Uttar Pradesh,0,India
315,23-03-2020,India,Uttarakhand,0,India
316,23-03-2020,India,West Bengal,0,India
317,24-03-2020,India,Andhra Pradesh,0,India
318,24-03-2020,India,Bihar,1,India
319,24-03-2020,India,Chhattisgarh,0,India
320,24-03-2020,India,Delhi,1,India
321,24-03-2020,India,Gujarat,1,India
322,24-03-2020,India,Haryana,0,India
323,24-03-2020,India,Himachal Pradesh,1,India
324,24-03-2020,India,Karnataka,1,India
325,24-03-2020,India,Kerala,0,India
326,24-03-2020,India,Madhya Pradesh,0,India
327,24-03-2020,India,Maharashtra,2,India
328,24-03-2020,India,Manipur,0,India
329,24-03-2020,India,Odisha,0,India
330,24-03-2020,India,Puducherry,0,India
331,24-03-2020,India,Punjab,1,India
332,24-03-2020,India,Rajasthan,0,India
333,24-03-2020,India,Tamil Nadu,0,India
334,24-03-2020,India,Telengana,0,India
335,24-03-2020,India,Chandigarh,0,India
336,24-03-2020,India,Jammu and Kashmir,0,India
337,24-03-2020,India,Ladakh,0,India
338,24-03-2020,India,Uttar Pradesh,0,India
339,24-03-2020,India,Uttarakhand,0,India
340,24-03-2020,India,West Bengal,1,India
341,25-03-2020,India,Andhra Pradesh,0,India
