Sno,Date,Country/Region,Province/State,Confirmed
286,22-03-2020,India,Tamil Nadu,7
287,22-03-2020,India,Telengana,22
288,22-03-2020,India,Chandigarh,5
289,22-03-2020,India,Jammu and Kashmir,4
290,22-03-2020,India,Ladakh,13
291,22-03-2020,India,Uttar Pradesh,27
292,22-03-2020,India,Uttarakhand,3
293,22-03-2020,India,West Bengal,4
294,23-03-2020,India,Andhra Pradesh,7
295,23-03-2020,India,Bihar,2
296,23-03-2020,India,Chhattisgarh,1
297,23-03-2020,India,Delhi,29
298,23-03-2020,India,Gujarat,29
299,23-03-2020,India,Haryana,26
300,23-03-2020,India,Himachal Pradesh,2
301,23-03-2020,India,Karnataka,33
302,23-03-2020,India,Kerala,67
303,23-03-2020,India,Madhya Pradesh,6
304,23-03-2020,India,Maharashtra,74
305,23-03-2020,India,Odisha,2
306,23-03-2020,India,Puducherry,1
307,23-03-2020,India,Punjab,21
308,23-03-2020,India,Rajasthan,28
309,23-03-2020,India,Tamil Nadu,9
310,23-03-2020,India,Telengana,32
311,23-03-2020,India,Chandigarh,6
312,23-03-2020,India,Jammu and Kashmir,4
313,23-03-2020,India,Ladakh,13
314,23-03-2020,India,Uttar Pradesh,31
315,23-03-2020,India,Uttarakhand,3
316,23-03-2020,India,West Bengal,7
317,24-03-2020,India,Andhra Pradesh,8
318,24-03-2020,India,Bihar,3
319,24-03-2020,India,Chhattisgarh,1
320,24-03-2020,India,Delhi,30
321,24-03-2020,India,Gujarat,33
322,24-03-2020,India,Haryana,28
323,24-03-2020,India,Himachal Pradesh,3
324,24-03-2020,India,Karnataka,37
325,24-03-2020,India,Kerala,95
326,24-03-2020,India,Madhya Pradesh,7
327,24-03-2020,India,Maharashtra,89
328,24-03-2020,India,Manipur,1
329,24-03-2020,India,Odisha,2
330,24-03-2020,India,Puducherry,1
331,24-03-2020,India,Punjab,29
332,24-03-2020,India,Rajasthan,32
333,24-03-2020,India,Tamil Nadu,15
334,24-03-2020,India,Telengana,35
335,24-03-2020,India,Chandigarh,7
336,24-03-2020,India,Jammu and Kashmir,4
337,24-03-2020,India,Ladakh,13
338,24-03-2020,India,Uttar Pradesh,33
339,24-03-2020,India,Uttarakhand,4
340,24-03-2020,India,West Bengal,9
341,25-03-2020,India,Andhra Pradesh,9
342,25-03-2020,India,Bihar,4
343,25-03-2020,India,Chhattisgarh,1
344,25-03-2020,India,Delhi,31
345,25-03-2020,India,Gujarat,38
346,25-03-2020,India,Haryana,28
347,25-03-2020,India,Himachal Pradesh,3
348,25-03-2020,India,Karnataka,41
349,25-03-2020,India,Kerala,109
350,25-03-2020,India,Madhya Pradesh,14
351,25-03-2020,India,Maharashtra,128
352,25-03-2020,India,Manipur,1
353,25-03-2020,India,Mizoram,1
354,25-03-2020,India,Odisha,2
355,25-03-2020,India,Puducherry,1
356,25-03-2020,India,Punjab,29
357,25-03-2020,India,Rajasthan,36
358,25-03-2020,India,Tamil Nadu,18
359,25-03-2020,India,Telengana,35
360,25-03-2020,India,Chandigarh,7
361,25-03-2020,India,Jammu and Kashmir,7
362,25-03-2020,India,Ladakh,13
363,25-03-2020,India,Uttar Pradesh,37
364,25-03-2020,India,Uttarakhand,4
365,25-03-2020,India,West Bengal,9
366,26-03-2020,India,Andaman and Nicobar Islands,1
367,26-03-2020,India,Andhra Pradesh,11
368,26-03-2020,India,Bihar,6
369,26-03-2020,India,Chandigarh,7
370,26-03-2020,India,Chhattisgarh,6
371,26-03-2020,India,Delhi,36
372,26-03-2020,India,Goa,3
373,26-03-2020,India,Gujarat,43
374,26-03-2020,India,Haryana,30
375,26-03-2020,India,Himachal Pradesh,3
376,26-03-2020,India,Jammu and Kashmir,13
377,26-03-2020,India,Karnataka,55
378,26-03-2020,India,Kerala,118
379,26-03-2020,India,Ladakh,13
380,26-03-2020,India,Madhya Pradesh,20
381,26-03-2020,India,Maharashtra,124
382,26-03-2020,India,Manipur,1
383,26-03-2020,India,Mizoram,1
384,26-03-2020,India,Odisha,2
385,26-03-2020,India,Puducherry,1
386,26-03-2020,India,Punjab,33
387,26-03-2020,India,Rajasthan,41
388,26-03-2020,India,Tamil Nadu,26
389,26-03-2020,India,Telengana,44
390,26-03-2020,India,Uttarakhand,5
391,26-03-2020,India,Uttar Pradesh,41
392,26-03-2020,India,West Bengal,10
393,27-03-2020,India,Andaman and Nicobar Islands,1
394,27-03-2020,India,Andhra Pradesh,12
395,27-03-2020,India,Bihar,6
396,27-03-2020,India,Chandigarh,7
397,27-03-2020,India,Chhattisgarh,6
398,27-03-2020,India,Delhi,36
399,27-03-2020,India,Goa,3
